Q1A,Q1I,Q1E,Q2A,Q2I,Q2E,Q3A,Q3I,Q3E,Q4A,Q4I,Q4E,Q5A,Q5I,Q5E,Q6A,Q6I,Q6E,Q7A,Q7I,Q7E,Q8A,Q8I,Q8E,Q9A,Q9I,Q9E,Q10A,Q10I,Q10E,Q11A,Q11I,Q11E,Q12A,Q12I,Q12E,Q13A,Q13I,Q13E,Q14A,Q14I,Q14E,Q15A,Q15I,Q15E,Q16A,Q16I,Q16E,Q17A,Q17I,Q17E,Q18A,Q18I,Q18E,Q19A,Q19I,Q19E,Q20A,Q20I,Q20E,Q21A,Q21I,Q21E,Q22A,Q22I,Q22E,Q23A,Q23I,Q23E,Q24A,Q24I,Q24E,Q25A,Q25I,Q25E,Q26A,Q26I,Q26E,Q27A,Q27I,Q27E,Q28A,Q28I,Q28E,Q29A,Q29I,Q29E,Q30A,Q30I,Q30E,Q31A,Q31I,Q31E,Q32A,Q32I,Q32E,Q33A,Q33I,Q33E,Q34A,Q34I,Q34E,Q35A,Q35I,Q35E,Q36A,Q36I,Q36E,Q37A,Q37I,Q37E,Q38A,Q38I,Q38E,Q39A,Q39I,Q39E,Q40A,Q40I,Q40E,Q41A,Q41I,Q41E,Q42A,Q42I,Q42E,country,source,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,uniquenetworklocation,hand,religion,orientation,race,voted,married,familysize
3,38,3352,1,16,4322,2,28,3083,1,34,2204,3,41,1180,3,23,2218,1,29,2378,3,12,2082,1,31,3917,1,5,5533,3,11,2865,2,2,10725,2,37,4205,4,10,4387,2,6,2750,3,27,2600,2,17,3886,3,8,3073,1,30,3919,1,39,1919,1,24,3385,1,18,4127,1,14,6035,3,13,2667,1,25,5481,1,40,3213,3,26,2452,1,42,2103,3,20,4451,2,32,4967,3,7,2960,3,35,4199,1,22,2516,2,33,2880,3,36,3416,1,4,2400,1,15,4543,2,3,4866,3,21,2149,1,9,5033,1,19,2104,2,1,10150,US,2,3,162,167,5,3,6,6,3,4,4,7,5,7,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,15,1,1,1,6,1,60,2,1,1
3,37,4024,3,35,2116,2,18,3408,2,10,2283,4,23,2253,3,20,2015,1,30,1821,3,5,1593,4,6,5626,3,24,1776,3,21,1717,3,28,2245,3,17,1740,3,29,2235,1,14,2149,1,11,4636,3,4,2270,2,7,4390,4,8,4437,3,13,2169,2,33,2833,4,22,1919,1,15,1561,2,41,2285,3,9,2997,3,2,4831,2,42,2089,2,16,1998,3,38,1582,3,36,2360,2,39,2781,2,12,2769,4,40,3312,3,31,1412,2,26,5201,3,3,2347,1,32,2439,2,19,1876,4,1,3695,3,34,2816,1,25,1987,2,27,1833,US,2,515,511,121,6,5,6,6,6,2,5,3,3,3,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,1,2,1,18,1,1,1,6,1,60,2,1,2
1,35,3055,1,24,1812,1,30,3266,1,15,1567,1,17,2851,2,6,2931,1,8,4374,3,11,1781,1,9,3696,3,39,1850,3,3,2853,2,7,2334,3,16,1668,4,2,7555,1,32,2004,3,33,2150,3,27,1963,2,4,3497,4,41,2240,2,36,1885,3,28,2057,2,23,2269,1,13,1501,2,5,3640,1,14,2468,3,38,1601,3,34,1464,1,42,1682,3,25,2203,3,22,4234,1,12,4070,1,19,3667,1,20,2083,2,10,1535,1,29,2650,2,37,1464,4,31,2634,2,1,5594,4,18,1614,2,40,2352,3,21,2355,2,26,3985,US,0,12,113,148,5,1,4,6,5,5,7,6,2,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,3,0,2,1,20,1,1,1,1,1,60,2,1,2
1,28,2890,4,20,3910,1,26,3132,2,35,5132,3,12,4903,1,16,5970,1,40,2632,3,15,4409,2,5,8096,1,14,3818,2,2,6870,1,29,2546,4,10,2870,1,19,5799,1,41,2589,3,1,8077,4,8,4151,3,17,4146,1,23,4396,1,6,5279,1,38,2999,3,4,4281,2,36,2669,3,18,3835,1,39,5369,1,42,1657,2,11,3428,3,13,3819,3,34,4136,3,9,6804,2,31,3908,2,33,4329,2,32,3178,1,27,1855,1,30,2424,4,21,3662,1,25,2538,1,24,3022,2,3,5017,4,22,4423,2,7,6270,3,37,3402,EE,2,84,175,162,5,2,5,5,2,6,7,6,6,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,1,2,31,2,1,1,12,1,60,2,1,5
1,10,2901,1,1,9036,1,22,3775,1,34,2027,1,38,2714,1,3,3626,1,11,4496,1,27,3453,1,41,4619,1,21,2540,1,20,2946,1,6,3508,1,14,1727,1,31,4508,1,4,2490,1,5,3725,1,28,4826,1,17,2425,1,13,3002,1,23,2371,1,37,4058,1,25,2721,1,7,2511,1,33,2981,1,9,4554,1,18,1894,1,40,1541,1,12,3354,1,29,3129,1,24,5256,1,2,5345,1,36,3058,1,39,1690,1,30,1686,1,26,4135,1,42,1852,1,19,4181,1,15,1898,1,32,1389,1,35,4266,1,16,1534,1,8,3449,US,2,2,143,228,3,5,6,1,6,5,3,2,7,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,2,1,1,34,2,1,1,1,1,60,1,3,2
3,17,2316,1,18,2450,2,11,3143,2,3,6494,2,34,3251,1,24,3178,1,5,4442,1,21,3403,2,35,6034,2,22,2965,2,6,3132,1,41,2363,2,39,1970,3,38,7334,1,16,2251,2,42,2350,3,7,2121,3,13,2760,1,23,5300,1,20,3051,2,14,2379,2,26,3416,2,10,5698,2,15,2339,1,29,3552,3,9,3285,3,32,2134,1,31,2128,1,36,2471,1,28,3330,2,4,4242,2,40,3998,1,30,2599,2,25,4690,3,8,6314,1,2,6848,2,1,8772,1,27,1913,3,19,2968,3,33,3953,1,37,2045,3,12,4649,US,2,2,155,146,3,5,4,5,6,5,4,3,4,4,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,2,2,2,1,17,1,1,1,1,2,60,2,1,1
3,15,2789,1,3,4500,2,25,3900,2,16,3568,1,35,1682,3,37,1633,1,12,2105,3,4,2940,4,5,4487,1,32,3186,3,33,6107,3,22,3356,3,24,1475,1,19,5121,1,13,1515,1,18,2719,3,7,3682,3,36,2804,1,17,3117,3,39,2302,1,34,2267,3,2,6795,1,23,2250,2,1,8706,1,41,2833,4,27,3356,4,28,1933,3,14,2235,4,26,4170,3,29,3655,1,9,2683,3,20,3396,4,6,2300,1,40,2804,3,31,5071,3,10,2293,1,11,3448,1,21,2832,3,38,1967,4,30,4462,1,8,2457,3,42,7799,US,2,1,148,108,1,7,5,7,1,6,5,4,1,3,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,2,2,19,2,1,1,7,1,60,2,1,2
3,17,2507,1,27,1334,2,38,1864,1,2,2950,2,6,1700,3,1,6535,1,5,1301,2,40,1197,2,12,6908,2,35,3795,2,15,1861,1,11,2802,2,25,1373,2,39,2051,1,41,1203,3,14,2051,2,9,2250,2,34,1917,2,31,7516,1,36,1534,2,16,3283,1,13,1424,1,23,1084,2,42,1967,1,19,1651,2,3,1636,2,7,1598,1,10,1167,1,8,2184,1,30,2076,3,24,2083,2,32,2618,1,22,1633,2,26,1524,2,20,3632,1,21,1067,2,28,1568,1,4,3799,2,18,1416,2,29,2624,1,33,1449,1,37,2586,GB,2,1,99,151,1,4,4,0,7,5,4,4,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,18,1,1,1,12,1,60,2,1,5
3,5,6729,2,4,4793,2,20,3328,1,16,2199,3,22,2513,1,21,2220,1,13,2489,2,32,2570,1,8,5790,2,18,4348,1,1,5951,1,26,1973,1,11,2679,4,33,3425,1,23,1931,3,28,4472,1,24,1450,2,40,2006,1,25,3613,1,19,1166,1,15,3214,1,10,4843,1,27,1216,3,41,4086,2,37,5170,1,35,1703,2,9,2482,1,29,1741,1,14,2681,1,12,2779,3,38,2302,2,30,3895,1,36,1313,1,34,1426,4,31,3803,1,3,2430,1,39,2035,2,7,2754,3,6,2830,1,42,2357,1,17,3662,4,2,3372,US,2,73,128,89,2,7,7,1,6,5,4,7,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,19,2,1,3,2,1,60,2,1,1
2,8,4144,2,27,4442,2,37,7254,1,20,1930,4,15,4376,3,5,4109,1,39,2479,1,36,2246,3,1,25617,2,38,2314,2,33,3644,1,19,5109,3,29,3944,1,35,7105,1,2,7719,2,9,8355,2,21,2629,4,22,3528,2,24,6805,4,11,4625,3,3,6573,1,17,4477,1,13,6390,3,41,5692,1,14,20814,3,18,4208,3,12,4658,1,31,3002,1,26,7007,2,25,8884,2,42,7253,1,4,18536,1,16,13061,2,7,4175,4,23,7653,1,40,3426,3,6,8053,2,10,4856,3,34,3577,1,32,4859,1,28,2462,4,30,3320,US,2,3,280,234,2,2,5,4,6,7,4,6,3,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,2,1,1,4,2,50,2,1,2
3,1,9774,1,38,2011,2,28,2618,1,10,2629,2,29,3659,3,42,5514,1,41,3013,2,18,2063,2,3,7435,2,13,5903,4,39,2846,1,37,2333,3,23,1812,2,15,4005,1,21,2373,1,30,4688,2,8,3792,4,27,4262,2,36,8219,1,19,3021,1,32,1498,3,4,4388,1,26,1916,1,33,2584,1,2,12572,3,20,3308,2,6,2888,1,7,3098,2,16,4788,1,9,13792,1,14,4604,1,5,5054,1,31,2229,2,24,2240,1,34,6221,1,35,1207,1,25,3945,1,17,3623,2,12,5085,2,11,8992,1,22,1306,2,40,4402,US,2,2,182,123,7,1,3,6,6,1,7,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,2,1,15,2,1,1,4,1,60,2,1,5
3,41,50135,1,11,2033,2,38,3882,1,34,1413,3,7,3935,3,39,1353,1,27,4500,3,32,1886,2,16,3010,3,4,2272,3,15,4751,1,25,1500,2,12,1666,3,8,3231,2,3,600,3,22,2969,2,10,1716,3,17,1807,1,5,2480,1,35,1355,2,31,1917,3,33,1618,1,13,1385,4,19,517,1,42,27221,2,40,1983,4,26,1984,1,24,1383,3,6,2000,1,28,16630,3,37,4100,4,21,2084,1,14,1516,2,18,682,3,36,1615,1,9,1535,2,29,520,2,1,14686,4,2,3162,2,20,2685,1,23,1864,3,30,3464,US,2,19,236,158,1,6,5,7,2,6,2,7,2,7,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,2,1,1,15,1,1,1,6,1,60,2,1,1
3,23,2129,2,3,1960,3,38,3423,4,8,2666,3,9,1843,3,32,1836,4,28,1622,4,33,1665,2,22,4496,4,19,2324,3,36,2098,3,10,2160,4,26,1502,2,20,3207,2,37,3199,3,25,1875,4,4,3157,3,17,2738,2,7,3148,4,27,1461,4,39,2226,4,15,3409,2,2,11054,3,42,2447,3,30,4063,4,29,3915,3,24,1405,3,11,2019,4,18,2103,3,35,3068,3,5,2277,3,31,1919,3,21,2292,4,6,2265,3,16,2800,4,40,1617,4,12,2560,4,41,1405,4,13,1552,3,1,10515,3,34,1691,3,14,2064,CA,2,4,118,434,3,3,5,5,5,5,5,3,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,3,2,1,22,1,1,1,1,2,60,2,1,1
3,14,6074,2,6,5943,2,31,4097,2,12,4319,1,42,3046,4,36,4107,1,5,4693,2,41,4269,3,15,5875,2,26,3340,3,33,3269,2,2,14821,3,28,2613,4,7,18354,1,24,4803,2,11,4985,2,34,3443,2,3,8255,1,30,4327,3,22,4500,2,13,9082,2,17,3462,1,4,3774,2,23,4158,1,18,5086,3,37,4067,2,40,3260,3,27,2805,4,8,4025,2,16,5398,3,29,6400,2,9,7548,2,32,3108,3,21,2401,3,35,8693,3,20,2038,2,38,4521,1,19,3200,3,1,10498,3,10,6852,1,25,2200,4,39,5207,EC,2,1702,223,230,1,5,5,6,3,6,5,3,3,5,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,2,2,19,2,1,1,4,1,70,2,1,3
2,23,3617,3,6,2759,2,25,8769,1,42,6400,3,8,2633,2,22,2121,2,27,4113,2,4,9248,3,29,4337,2,35,2671,2,12,2632,2,30,2145,3,20,1881,2,28,9248,2,37,3120,3,7,3560,2,5,5738,2,26,2816,3,33,5152,1,36,4065,2,41,2465,2,21,2696,2,40,6161,2,14,3247,2,3,2109,4,19,1405,2,34,4339,3,9,2041,2,39,3791,2,18,5441,2,24,5074,1,2,14672,2,10,2247,2,31,1920,1,15,3937,2,17,2168,3,38,6393,2,1,40837,2,11,2257,1,16,4209,1,32,4384,3,13,5945,AU,2,717,254,162,2,4,3,5,5,6,5,7,3,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,20,2,1,1,7,1,60,1,1,3
4,23,2453,1,6,7105,4,21,1923,2,42,7230,4,39,2117,3,17,4675,3,5,4050,4,12,2600,2,24,14711,4,25,1745,4,13,2363,3,20,4063,4,30,1118,3,35,5810,2,31,3200,4,41,2582,4,1,5234,3,7,4926,2,15,7651,4,4,2557,4,8,2428,4,10,2200,2,37,4192,4,19,4664,4,16,10229,4,28,1272,4,22,2147,4,18,2378,4,9,3241,4,29,25139,4,38,7218,2,26,35540,2,40,3256,4,2,4124,2,14,5979,2,33,3387,4,27,2601,4,36,1571,4,11,2843,3,3,7836,4,32,1894,4,34,2309,US,2,7,229,134,1,6,5,7,7,7,1,6,1,2,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,2,2,1,16,1,1,1,1,4,10,2,1,2
4,1,4820,4,39,1109,4,8,1833,4,34,1518,4,38,899,4,33,1183,4,25,1699,3,28,2049,4,9,1984,3,24,2219,4,11,984,4,31,2248,4,21,1031,4,14,3974,4,17,1263,3,30,1552,4,3,2309,4,42,1007,3,2,4756,4,6,1300,3,29,1636,4,37,966,4,4,1757,4,40,2210,4,23,6485,4,32,1081,4,12,1228,4,20,1257,4,7,1365,4,5,3068,4,36,1226,4,19,1510,4,15,1465,4,22,867,4,10,2281,4,13,938,4,26,1736,3,27,1679,4,18,1316,4,16,1632,4,41,1099,4,35,1808,US,2,325,323,162,4,1,7,7,7,2,6,5,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,2,1,15,1,1,1,7,1,60,2,1,3
2,28,2984,2,35,3838,1,11,3116,2,8,5029,1,20,2566,2,1,7554,4,39,2033,1,9,4456,3,7,9882,2,18,18749,2,10,3267,4,21,3591,3,22,2744,2,36,7097,3,2,6949,3,4,5670,2,6,6300,1,41,4152,4,32,5001,4,15,2224,1,17,3083,3,16,2634,1,38,2292,4,3,6115,3,13,7914,2,27,3354,4,33,2066,3,29,2599,2,19,7213,1,42,6401,1,30,2535,1,37,11139,4,14,5763,1,31,1682,2,26,12112,2,25,2484,1,24,2466,1,12,2133,3,40,2167,2,34,5717,2,5,3250,1,23,5672,US,2,1,209,365,7,3,1,7,7,1,5,7,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,16,1,1,3,7,2,60,2,1,1
4,12,2431,3,3,9289,4,15,3330,4,32,3916,4,11,1846,3,37,3057,4,42,4482,3,33,4043,4,4,3652,4,1,5455,4,35,2188,4,22,2382,4,30,1387,1,39,5587,4,16,2822,4,36,1679,4,14,2041,4,24,1906,4,2,12891,4,31,3096,4,17,2481,3,6,3624,3,7,2334,4,41,2500,4,40,7431,4,20,1835,4,21,1759,4,26,1895,4,25,2059,4,13,4044,4,9,2266,4,19,4385,4,18,2139,4,29,1445,4,38,5156,4,27,1621,4,28,3164,4,23,1582,4,5,2158,4,8,4805,4,34,2177,4,10,3506,US,2,17,142,168,1,6,6,6,5,7,1,7,4,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,19,2,1,1,1,2,70,2,1,2
1,9,2236,1,10,1437,2,7,2570,1,17,2188,1,27,3372,1,2,1975,1,6,1579,1,37,1736,1,26,11058,2,8,3389,1,38,2105,1,23,2218,1,19,1803,1,31,3058,2,29,4186,3,5,2184,1,11,3906,1,14,2010,1,35,3128,1,30,2375,2,42,1957,1,13,1567,1,24,1334,3,4,2903,1,25,2473,1,41,1397,1,20,2119,1,1,4983,1,15,3193,1,12,2454,1,18,6983,1,3,3281,1,40,2984,1,34,1676,1,22,5516,1,36,1483,2,33,3556,2,16,2299,2,32,2794,1,39,2537,1,28,1524,1,21,2944,US,0,42,121,171,3,3,5,1,5,5,5,5,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,1,16,1,1,1,1,5,70,2,1,3
2,35,1531,2,22,2909,3,31,3694,1,5,5106,3,33,2451,3,32,1547,1,34,1828,3,1,8677,2,11,4926,2,41,1816,3,29,1693,4,28,2899,3,21,1332,2,37,3081,1,25,2041,2,38,3727,3,6,3095,4,18,4776,1,15,3259,4,4,4828,2,13,3389,3,8,3977,2,17,1592,4,36,4306,3,19,4582,3,9,1326,3,16,1874,3,23,6742,2,26,2252,2,7,4681,2,30,3383,1,14,6709,3,2,7193,3,40,1983,2,24,6554,2,20,1910,3,12,3416,3,27,1501,2,42,4166,3,39,2598,1,10,2749,2,3,4696,US,2,14,147,122,5,6,4,6,6,6,5,3,2,4,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,2,19,1,2,1,8,1,70,2,1,2
2,25,3671,2,26,5743,2,13,3154,1,21,5296,4,35,2418,2,11,4432,1,2,6342,1,22,2720,2,38,5144,2,19,2418,2,31,2240,2,17,3173,4,16,1630,2,42,5791,1,40,1963,2,29,4336,4,34,3174,1,5,4723,3,12,5930,2,10,2898,4,41,2181,1,3,4184,2,7,8400,3,4,3887,1,24,5405,4,23,2712,1,36,2246,1,39,2234,3,20,4778,1,8,6791,1,32,4564,1,18,6916,1,28,2306,4,1,8706,1,30,4911,1,6,2366,2,14,3348,4,33,3185,1,37,2041,3,15,4007,1,27,2361,4,9,4011,US,2,3,174,109,5,5,5,5,7,7,7,5,5,6,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,2,3,1,1,18,1,1,1,2,1,60,2,1,3
